timestamp,dataset,rows,A_ms,B_ms,C_ms,D_ms,E_ms,T_ms,rows_per_s
2025-10-14 14:51:58,spacE_logs_100k.jsonl,99378,126.41,0.00,0.40,19.25,2.04,148.15,670781.8
2025-10-14 14:53:43,spacE_logs_100k.jsonl,99378,124.91,0.01,0.42,2.66,0.25,128.28,774721.3
2025-10-14 14:55:58,spacE_logs_100k.jsonl,99378,121.02,0.01,0.60,4.55,2.17,128.43,773782.7
2025-10-14 15:58:37,space_logs_100k.jsonl,99378,109.30,0.02,0.76,2.84,0.48,113.44,876076.5
2025-10-17 17:19:48,space_logs_100k.jsonl,99378,96.06,0.02,0.59,1.55,0.98,99.25,1001273.5
2025-10-17 17:21:49,space_logs_100k.jsonl,99378,100.01,0.02,0.59,2.50,0.25,103.41,961020.7
2025-10-17 17:23:03,space_logs_100k.jsonl,99378,96.01,0.01,0.39,2.65,0.26,99.35,1000317.1
2025-10-17 18:39:27,space_logs_100k.jsonl,99378,96.72,0.01,0.63,2.18,0.23,99.80,995797.5,cold
2025-10-17 18:39:35,space_logs_100k.jsonl,99378,96.85,0.01,0.62,1.50,0.24,99.25,1001259.4,warm
2025-10-17 19:19:57,space_logs_100k.jsonl,99378,108.49,0.01,0.70,10.89,0.99,121.11,820572.7,cold-reboot
2025-10-17 19:20:07,space_logs_100k.jsonl,99378,119.98,0.01,0.31,0.81,0.24,121.38,818719.0,warm-1
2025-10-17 19:23:57,space_logs_100k.jsonl,99378,101.71,0.01,0.91,1.22,0.76,104.64,949696.1,warm-2
2025-10-17 19:24:19,space_logs_100k.jsonl,99378,93.77,0.01,0.41,2.16,0.27,96.65,1028276.6,warm-3
